Public Field,Public Entity,Description,Data Type,Required?,Relationship,Source Concept,Production Value Treatment,Notes
goal_summary,Pathway Step,Outcome statement at the goal level,Text,Optional,,Goal description column,Never publish,Presence rate only (109/186); fictional sample permitted
rationale,Pathway Step,Why this step or why this goal matters,Text,Optional,,Why and why-this-goal columns,Never publish,Presence rates only (34 and 26 of 186); fictional sample permitted
phase,Pathway Step,Optional coarse grouping of steps,Text,Optional,,Phase column,Generalized structure only,Populated on 21/186 rows; pattern shape only
application_links,Pathway Step,Application the step is performed against,Text,Optional,,Applications column,Never publish,Presence rate only (8/186); detailed application instructions withheld
form_links,Pathway Step,Form the step is performed against,Text,Optional,,Forms column,Never publish,Presence rate only (17/186); detailed form instructions withheld
support_links,Pathway Step,Website supporting the step,URL,Optional,,Website column,Never publish,Presence rate only (47/186); samples use https://example.invalid/ URLs
support_contact,Pathway Step,Step-specific phone contact,Text,Optional,,Phone column,Never publish,Presence rate only (11/186); no phone value or realistic digits published
optional_step,Pathway Step,Whether the step may be skipped,Yes/No,Optional,,Optional-step column,Aggregate only,Three source states: yes 5 / no 46 / blank-unspecified 135; blank is reported as unspecified and a fail-safe default is a recommendation not preserved in the evidence; the copy workflow carries the flag onto copies
note,Pathway Step,Free-text working notes,Text,Optional,,Note column,Never publish,Presence rate only (23/186); fictional sample permitted
plan_reference,Individual Plan Step,Identifier of the person-specific copied plan record,Identifier,Yes,Primary key of Individual Plan Step,Copy workflow (evidenced); public field design reconstructed,Generalized structure only,The copy workflow existed in production; this public field design is a reconstruction and no real plan is represented
copied_from,Individual Plan Step,Reference back to the template step this record was copied from,Reference,Yes,Individual Plan Step to Pathway Step,Design recommendation,Generalized structure only,Production carried the template's hierarchy code onto copies (used for duplicate checks); an explicit lineage reference is the recommended stronger form
plan_status,Individual Plan Step,Per-step progress state,Choice,Yes,,Public status vocabulary (reconstructed),Generalized structure only,Fictional sample permitted (not started / in progress / blocked / complete / skipped-optional); production status fields are not shown by the evidence
plan_notes,Individual Plan Step,Person-specific case notes on a step,Text,Optional,,Reconstructed copy design,Never publish,Case data by definition; only fictional values ever appear
